[0, -0.037, 0, 0, 0, 0, 0]
[np.float64(0.06648548748219012), np.float64(-0.03699999999999999), np.float64(0.017813148788927334), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.0730222674536943), np.float64(-0.037), np.float64(0.016858131487889273), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.07913698351312845), np.float64(-0.03699999999999999), np.float64(0.015570934256055359), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.08470457968654593), np.float64(-0.03699999999999999), np.float64(0.013951557093425597), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.08960000000000004), np.float64(-0.037000000000000005), np.float64(0.01199999999999999), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.09369818847954409), np.float64(-0.037), np.float64(0.00971626297577853), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.09687408915123145), np.float64(-0.037), np.float64(0.007100346020761225), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.09900264604111543), np.float64(-0.037), np.float64(0.0041522491349480686), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.09995880317524934), np.float64(-0.037), np.float64(0.0008719723183390648), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.09995880317524934), np.float64(-0.037), np.float64(0.0008719723183390648), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.09995880317524934), np.float64(-0.037), np.float64(0.0008719723183390648), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.09995880317524934), np.float64(-0.037), np.float64(0.0008719723183390648), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
